index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
8,1DxEbt6OSbrkRthk6pjZue,MERCHO,Nico Valdi,83,2022-12-16,161.452,0.838,0.79,6,1.602,0,0.431,3.33e-06,0.108,0.184,0.962,92.927,4,0,0
391,01jBLs7IZQzPt3dVdn5rDa,True Faith '94,['New Order'],54,1994-01-01,335.533,0.605,0.907,0,3.56,1,0.0158,0.0158,0.033,0.0697,0.965,117.511,4,1,0
171,3Dik3Z6fZyHd0LozpXHYzP,Corazón de Poeta,['Jeanette'],28,1992-05-25,280.0,0.697,0.486,6,13.679,0,0.36,0.0016,0.0294,0.0795,0.678,115.197,4,1,1
74,5DEucyKzqSS0fqYGdT0JGL,Pegate - Turreo Edit,DJ Mutha,47,2022-04-12,171.856,0.78,0.463,7,7.477,1,0.0807,0.0,0.11,0.0955,0.431,139.544,3,0,0
98,5UXuombq8sj6a1QW5GUl4A,Chau... No Va Más...! (with Atilio Stampone y su Orquesta Tipica),"['Roberto Goyeneche', 'Atilio Stampone y su Orquesta Tipica']",13,2000-03-10,221.226,0.416,0.402,3,8.801,1,0.916,0.000193,0.0491,0.193,0.467,104.308,4,1,1
112,195ds7YLe8SDVLNEGrsyTm,Una Noche en Medellín (Me Puse las Balenciagas) - Remix,Mauri Mansilla,24,2022-03-09,115.745,0.812,0.628,10,9.497,0,0.517,0.00418,0.0773,0.102,0.865,102.016,4,0,0
73,6efjURo7f1Bja9mGXjKqMA,CLOSE FRIENDS,Jonna Torres,44,2023-01-06,196.0,0.65,0.697,7,6.231,1,0.192,0.0,0.254,0.172,0.293,180.022,4,0,0
395,6p48AsXt0IBCamEdRPngjb,Shangri-La,['Electric Light Orchestra'],41,1976-09-01,335.36,0.227,0.469,9,8.739,1,0.62,0.000833,0.0292,0.134,0.308,78.59,4,1,1
270,3MFa9idQuY4iJLWsZl3tIQ,Young Hearts Run Free,['Candi Staton'],65,1976-01-01,248.36,0.653,0.652,7,9.304,0,0.13,1.58e-05,0.0427,0.202,0.846,115.388,4,1,0
331,49g8xpImgLRFKOnyMzBUnT,Living On An Island,['Status Quo'],36,1979-01-01,290.346,0.543,0.834,4,7.948,1,0.0289,0.00952,0.033,0.241,0.531,124.59,4,1,1
36,76QyPWsxKTVImSd6HOjhSr,Graveyard Train,['Creedence Clearwater Revival'],30,1969-01-05,515.44,0.748,0.105,9,19.15,1,0.0798,0.0258,0.0482,0.102,0.383,116.64,4,1,1
117,5W1qmxHrMlQGGAiFA3ZQqP,Se Le Ve,Lenny Tavárez,65,2021-08-12,277.693,0.562,0.755,7,4.367,0,0.0967,2.25e-05,0.112,0.143,0.609,83.997,4,0,0
95,5Gmy0FJLyCiuU9P8Vtujwr,PATADA,Kaleb Di Masi,35,2022-05-04,164.0,0.585,0.681,10,7.73,0,0.19,0.0,0.112,0.251,0.778,92.593,4,0,0
335,1ONJfXwpdE7gS6i2SGFnF0,"Dancing In the Dark - Live at the Walter Kerr Theatre, New York, NY - July 2018",['Bruce Springsteen'],31,2018-12-14,250.0,0.402,0.526,10,10.067,1,0.801,0.0,0.0488,0.472,0.408,122.188,4,1,1
93,3f0U5NaD1bCk8nmKpn2ZJY,Kodachrome,['Paul Simon'],61,1973-05-05,215.4,0.592,0.705,1,10.276,0,0.0291,1.97e-05,0.0287,0.0456,0.902,135.754,4,1,0
85,00i0O74dXdaKKdCrqHnfXm,La Mordidita (feat. Yotuel),Yotuel,65,2015-02-10,211.68,0.725,0.903,0,2.955,1,0.0344,0.0,0.0658,0.183,0.946,142.006,4,0,0
43,5AhRNIjYPBleR1lfHphcrE,The Edge of Heaven,['Wham!'],52,1986-07-01,270.8,0.493,0.665,9,13.817,0,0.117,0.0,0.0424,0.159,0.877,152.644,4,1,0
300,4Eq54SqWdCWCprJIRqwK8h,Fool (If You Think It's Over),['Chris Rea'],38,2007-11-10,244.986,0.727,0.479,11,7.953,0,0.249,0.0,0.0308,0.0848,0.936,110.203,4,1,0
192,48DvEcSLpu5zCNEm35RoKG,Fool If You Think It's Over,['Elkie Brooks'],39,1981-01-01,297.16,0.687,0.344,8,16.463,0,0.43,0.0,0.0266,0.0396,0.837,109.177,4,1,1
92,5LxtD7I7p5MzVDgPdwegli,Sandungueo Rkt,DJ MRK,8,2022-05-09,171.544,0.887,0.599,7,8.376,1,0.0932,0.0,0.203,0.097,0.474,81.983,4,0,0
155,47TUsZ9O6ZqzEOWo1o7CxL,Time Passages,['Al Stewart'],43,1978-01-01,398.306,0.689,0.542,3,10.774,1,0.308,0.00148,0.0287,0.0905,0.638,111.726,4,1,1
11,2B8yclwRqMJy4QGdm0YcaE,Fanática Sensual - Remix,Nicky Jam,48,2015-06-02,263.8,0.788,0.815,1,4.54,1,0.162,0.0,0.0539,0.244,0.871,82.014,4,0,0
94,4N1c5rmWOzRmB9SMacr5wB,Loco Enamorado,Christian Daniel,55,2017-06-23,252.2,0.69,0.872,11,2.984,0,0.226,0.0,0.0588,0.0858,0.731,94.0,4,0,0
81,003CpLpVCGuyfZe4dLB1No,Pégate,castleurbano,46,2023-01-26,120.0,0.696,0.732,1,6.526,1,0.0154,0.0,0.0904,0.109,0.483,101.788,4,0,0
70,56f5qnyAlZdlz8wrUDA50h,Desconocidos,Camilo,69,2019-05-03,204.564,0.719,0.753,7,4.891,1,0.118,4.21e-06,0.179,0.212,0.675,174.107,4,0,0
86,0PSN9gw4qdAqqDTaR3COV5,Pasarela,Ñejo & Dalmata,0,2007-01-01,227.467,0.798,0.814,7,6.153,1,0.101,5.41e-06,0.0542,0.181,0.524,95.007,4,0,0
298,41i0hDhtwUWJy8v6oky5jo,Un homme et une femme,['Franck Pourcel'],35,1966-01-01,137.72,0.315,0.584,4,8.125,0,0.277,0.828,0.0328,0.0819,0.521,76.994,4,1,1
87,1WYmJQg4ZZj2HbDrM6KvOz,My Girl,['Rod Stewart'],15,1980-01-01,267.4,0.34,0.416,0,10.278,1,0.396,2.9e-05,0.0401,0.173,0.226,68.798,4,1,1
283,5nJZLOjtMJZ1HGzQ0FYRJG,Ride Like the Wind,['Saxon'],44,1988-01-01,268.653,0.587,0.837,11,8.551,1,0.00379,0.00203,0.042,0.108,0.712,118.503,4,1,0
148,0IqCoZ168iRc9LqfrYgpZy,KESI - Remix,Shawn Mendes,69,2021-07-14,176.575,0.871,0.815,4,4.439,1,0.127,6.18e-06,0.0477,0.094,0.823,122.959,4,0,0
365,4ME2YQNThxEW63fxojzHvN,One - Single Version,['Three Dog Night'],52,1968-01-01,185.826,0.55,0.409,5,12.702,0,0.312,0.0,0.0321,0.096,0.405,61.226,4,1,1
47,4p6H5XmF6knuep5BFkLYgR,Yo Me Monto,J Alvarez,52,2022-11-03,172.314,0.754,0.955,9,3.773,1,0.0519,0.000732,0.104,0.0691,0.752,125.052,4,0,0
44,3UZBUu3YbgpQHf827i57fB,Bellakeo - Remix,Omar Varela,55,2022-07-21,212.25,0.842,0.701,6,2.38,1,0.0359,0.0,0.191,0.0436,0.802,80.001,4,0,0
19,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,88,2022-05-06,243.717,0.65,0.715,5,5.198,0,0.0993,0.000291,0.253,0.126,0.187,106.672,4,0,0
21,3bQYr29LQEIBnNNIOOeeXJ,"Prélude N°4 in E minor, opus 28 - Largo",['Grigory Sokolov'],0,2001-03-20,140.893,0.441,0.00518,0,30.6,1,0.995,0.911,0.0744,0.0571,0.0365,114.757,3,1,1
85,0TUqu1xX3lKTsLg6LJPYSh,Anatomía,Xcelencia,34,2022-09-16,167.364,0.87,0.569,5,6.424,1,0.496,0.000323,0.215,0.079,0.51,93.986,4,0,0
160,3VDJrFMOFyYFGPtIocqkeP,Para Amarnos Más,['Mijares'],61,1992-01-01,206.706,0.536,0.665,3,7.743,1,0.641,0.000608,0.0367,0.113,0.243,140.256,4,1,1
123,5j3wzSS6z80VEs71O0gysC,Hace Calor,Omar Varela,61,2021-12-10,201.197,0.905,0.55,5,6.466,0,0.239,0.119,0.0674,0.0817,0.362,129.976,4,0,0
57,5eYVvHN75qLlpD0DC6R8Pl,LA JOAQUI | Mission 08,La Joaqui,37,2022-06-01,149.5,0.809,0.394,11,9.03,0,0.494,6.79e-05,0.269,0.0609,0.495,89.983,4,0,0
128,3jdBf1cJ2QmTzNUixplppA,(Love Is) Thicker Than Water,['Andy Gibb'],43,1977-01-01,255.96,0.582,0.462,6,9.882,0,0.137,4.98e-05,0.0254,0.0755,0.528,96.361,4,1,1
